sample_id,organism.x,total.x,duplicates,mapped,mean,max_ct,bc_amp_cycles,pooled,cap_lib_conc,amisuccessful,percent_bases_above_15,mapped_in_baited_region,%_bases_above_15,frac_mapped
AN16-06-T_S4,anthrax,2002470,1331598,1633991,4.79,28,5,0,0.16,yes,2.7,1636510,2.7,0.8172457015585751
not-sequenced,anthrax,NA,NA,NA,NA,28,5,0,0.11,NA,NA,NA,NA,NA
AN16-06-B_S14,anthrax,16494712,615720,16151277,238.87,20,5,0,13.2,yes,100,16147832,100,0.9789702299743094
AN16-06-I_S29,anthrax,7981644,3141259,3594698,6.57,37,6,0,0.37,yes,5.9,3596582,5.9,0.4506066669974256
AN16-120-S_S23,anthrax,9701900,329954,9572386,135.64,20,5,0,15.7,yes,100,9562527,100,0.9856344633525392
AN16-130-T_S25,anthrax,7061343,423553,6676126,94.01,24,5,0,2.7,yes,99.6,6708786,99.6,0.9500722454637879
AN16-130-S_S36,anthrax,5864007,521678,681103,1.79,35,5,0,0.28,NA,0.8,809011,0.8,0.13796214772594917
not-sequenced,anthrax,NA,NA,NA,NA,22,5,0,NA,NA,NA,NA,NA,NA
AN16-132-I_S32,anthrax,9065119,1632697,4432180,41.85,26,6,0,3.06,yes,98.6,4659875,98.6,0.5140445481190042
AN16-135-2-T_S1,anthrax,12631531,630295,11247577,168.11,19,5,0,4,yes,100,11221715,100,0.8883891430104554
AN16-14-S_S3,anthrax,13181242,850233,12988174,194.15,22,5,0,4.8,yes,100,12994682,100,0.9858465537617775
AN16-144-S_S40,anthrax,6822094,1464397,6313639,74.73,26,6,0,2.98,yes,99.9,6287821,99.9,0.9216848961623807
AN16-145-B_S1,anthrax,15383559,1235115,15249978,221.31,25,6,1,66,yes,100,15162149,100,0.9856073617294931
AN16-145-S_S2,anthrax,32244050,2794894,31281918,421.74,22,6,1,66,yes,100,31612525,100,0.9804142159561221
AN16-149-1-T_S26,anthrax,63955,154,1273,0.02,37,5,0,9.8,no,0,1267,0,0.0198108044718943
AN16-149-2-T_S27,anthrax,24754236,989695,24638184,369.78,26,5,0,15.9,yes,100,24559450,100,0.9921312053419867
AN16-150-T_S24,anthrax,8871934,174070,286033,1.25,35,5,0,0.68,no,0.2,292336,0.2,0.032950650895283935
AN16-150-B_S35,anthrax,9215161,2519344,5272043,43.19,31,5,0,0.78,yes,98.8,5256306,98.8,0.5703976306002684
AN16-152R-T_S34,anthrax,8479266,2498929,5641992,47.44,26,5,0,0.68,yes,98.1,5638849,98.1,0.6650161700316986
AN16-152R-S_S37,anthrax,6051634,872726,4089963,48.19,30,5,0,1.76,yes,99.3,4105575,99.3,0.6784242074124113
AN16-165-B_S12,anthrax,5616329,1113885,1248384,1.23,35,5,0,0.2,no,0.4,1561385,0.4,0.27800810814323734
AN16-165-S_S22,anthrax,32708157,1498453,32345531,449.39,20,5,0,8.6,yes,100,32291415,100,0.9872587746231009
AN16-171-T_S45,anthrax,4668613,147680,182231,0.37,30,6,0,0.36,no,0.1,177677,0.1,0.03805777004862044
AN16-174-T_S28,anthrax,7194857,583643,6068261,86.93,21,6,0,2.9,yes,99.9,6040865,99.9,0.8396087649830983
AN16-175-T_S3,anthrax,539623,25083,323916,4.47,23,6,1,66,no,0.3,326220,0.3,0.6045331648206248
not-sequenced,anthrax,NA,NA,NA,NA,26,6,0,NA,NA,NA,NA,NA,NA
AN16-90-S_S33,anthrax,6925325,1709826,2764264,15.93,31,6,0,0.77,yes,55.3,2764785,55.3,0.3992281950666575
AN17-01-T_S5,anthrax,6805988,651573,5846933,83.14,24,5,0,2.28,yes,99.7,5852213,99.7,0.8598623741328959
AN17-01-B_S15,anthrax,6322348,227148,739542,7.94,19,5,0,1.27,yes,8.5,737615,8.5,0.11666788984092619
AN17-18-B_S13,anthrax,8369846,1615980,6604212,77.82,28,5,0,2.04,yes,99.8,6591069,99.8,0.7874779297014545
not-sequenced,anthrax,NA,NA,NA,NA,22,6,0,NA,NA,NA,NA,NA,NA
AN17-183_S18,anthrax,7038015,1679780,3071634,20.57,25,6,0,0.45,yes,60.3,3083732,60.3,0.43815365554066027
not-sequenced,anthrax,NA,NA,NA,NA,25,6,0,NA,NA,NA,NA,NA,NA
AN17-186_S9,anthrax,6396386,1665448,5006260,52.26,25,6,0,0.57,yes,99.4,4986943,99.4,0.7796501024172087
AN17-187_S19,anthrax,2150739,100011,1678733,23.58,24,6,0,0.91,yes,83.8,1683530,83.8,0.7827681555037594
AN17-189_S20,anthrax,8033531,1317313,5144692,58.22,25,6,0,0.74,yes,99.7,5130948,99.7,0.6386915043957632
AN17-190_S22,anthrax,8838502,655377,8083501,113.33,19,6,0,1.54,yes,100,8060825,100,0.9120125786021206
AN17-191_S1,anthrax,7129812,1908307,3604015,25,25,6,0,0.48,yes,81.3,3708943,81.3,0.520202075454444
AN17-194_S1,anthrax,2130341,146738,1529162,21.79,24,6,0,0.58,yes,58.1,1535424,58.1,0.7207409518006742
AN17-196_S11,anthrax,7784683,1735010,4833135,41.9,27,6,0,0.53,yes,97.3,4894529,97.3,0.6287383827960624
AN17-197_S30,anthrax,7327413,960156,6543886,82.26,23,6,0,0.89,yes,99.9,6622569,99.9,0.9038072509356303
