polyom_id,sample_id,study_id,date,max_ct,sample_conc,init_lib_conc,cap_lib_conc
AN16-06-B_S14,AN16-06-B,AN16-06,29/04/2017,20,3.1,6.85,13.2
AN16-06-I_S29,AN16-06-I,AN16-06,29/04/2017,37,0.55,8.7,0.37
,AN16-06-S,AN16-06,29/04/2017,28,3.2,0.507,0.11
AN16-06-T_S4,AN16-06-T,AN16-06,29/04/2017,28,1.4,0.472,0.16
AN16-120-S_S23,AN16-120 -S,AN16-120 ,23/07/2016,20,2.1,5.27,15.7
AN16-130-S_S36,AN16-130-S,AN16-130,17/10/2016,35,2.5,14.6,0.28
AN16-130-T_S25,AN16-130-T,AN16-130,17/10/2016,24,2.62,8.98,2.7
AN16-132-I_S32,AN16-132-I,AN16-132,21/03/2017,26,4.25,41.4,3.06
,AN16-132-T,AN16-132,21/03/2017,22,1.1,0.211,NA
AN16-135-2-T_S1,AN16-135-2-T,AN16-135-2,20/10/2016,19,13,18.3,4
AN16-14-S_S3,AN16-14-S,AN16-14,16/09/2016,22,3.2,5.44,4.8
AN16-144-S_S40,AN16-144-S,AN16-144,18/10/2016,26,2.72,35,2.98
AN16-145-B_S1,AN16-145-B,AN16-145,19/10/2016,25,1,12,66
AN16-145-S_S2,AN16-145-S,AN16-145,19/10/2016,22,3.5,37,66
AN16-149-1-T_S26,AN16-149-1-T,AN16-149-1,21/10/2016,37,0.46,3.81,9.8
AN16-149-2-T_S27,AN16-149-2-T,AN16-149-2,21/10/2016,26,23.1,15.5,15.9
AN16-150-B_S35,AN16-150-B,AN16-150,21/10/2016,31,1.51,6.12,0.78
AN16-150-T_S24,AN16-150-T,AN16-150,21/10/2016,35,1.51,7.84,0.68
AN16-152R-S_S37,AN16-152R-S,AN16-152R,25/11/2016,30,3.03,8.04,1.76
AN16-152R-T_S34,AN16-152R-T,AN16-152R,25/11/2016,26,11.8,14.1,0.68
AN16-165-B_S12,AN16-165-B,AN16-165,26/01/2017,35,1.5,3.26,0.2
AN16-165-S_S22,AN16-165-S,AN16-165,26/01/2017,20,1,4.24,8.6
AN16-171-T_S45,AN16-171-S,AN16-171,14/12/2016,30,2,8.14,0.36
AN16-174-T_S28,AN16-174-T,AN16-174,14/12/2016,21,25.4,63.2,2.9
AN16-175-T_S3,AN16-175-T,AN16-175,30/04/2017,23,4.5,63,66
,AN16-79-T,AN16-79,04/09/2016,26,8.3,2.17,NA
AN16-90-S_S33,AN16-90-S,AN16-90,17/10/2016,31,2.15,43.6,0.77
AN17-01-B_S15,AN17-01-A-B,AN17-01-A,30/04/2017,19,1.4,5.6,1.27
AN17-01-T_S5,AN17-01-A-T,AN17-01-A,30/04/2017,24,4,5.51,2.28
AN17-18-B_S13,AN17-18-B,AN17-18,20/02/2017,28,1.3,5.15,2.04
,AN17-182-T,AN17-182,19/08/2017,22,21.1,1.67,NA
AN17-183_S18,AN17-183-T,AN17-183,19/08/2017,25,22.9,6.48,0.45
,AN17-184-T,AN17-184,19/08/2017,25,53.5,0.48,NA
,AN17-184-T,AN17-184,19/08/2017,25,53.5,0.38,NA
AN17-186_S9,AN17-186-T,AN17-186,20/08/2017,25,40,8.4,0.57
AN17-187_S19,AN17-187-T,AN17-187,20/08/2017,24,17.2,20.2,0.91
AN17-189_S20,AN17-189-T,AN17-189,21/08/2017,25,21.5,16.7,0.74
AN17-190_S22,AN17-190-T,AN17-190,21/08/2017,19,36.4,22.1,1.54
AN17-191_S1,AN17-191-T,AN17-191,21/08/2017,25,51,8.26,0.48
AN17-194_S1,AN17-194-T,AN17-194,22/08/2017,24,24.1,7.29,0.58
AN17-196_S11,AN17-196-T,AN17-196,22/08/2017,27,9.08,10.5,0.53
AN17-197_S30,AN17-197-T,AN17-197,22/08/2017,23,7.03,8.43,0.89
AN17-20-S_S41,AN17-20-S,AN17-20,23/02/2017,28,2.13,24.2,1.54
AN17-200_S29,AN17-200-T,AN17-200,23/08/2017,20,23,15.8,1.75
,AN17-211-T,AN17-211,24/08/2017,20,15.3,0.15,NA
AN17-212-S_S5,AN17-212-S,AN17-212,24/08/2017,27,5.3,29,1.92
,AN17-216-B,AN17-216,25/08/2017,24,13.4,0.52,NA
,AN17-217-T,AN17-217,26/08/2017,25,26.2,1.08,NA
,AN17-218-T,AN17-218,26/08/2017,25,40.3,0.17,NA
AN17-219_S3,AN17-219-T,AN17-219,26/08/2017,25,13.9,9.8,0.63
AN17-22-S_S42,AN17-22-S,AN17-22,23/02/2017,36,3.19,29.4,2.7
,AN17-222-T,AN17-222,26/08/2017,25,13.3,0.16,NA
AN17-223_S10,AN17-223-T,AN17-223,26/08/2017,22,13.1,8.87,0.75
,AN17-224-T,AN17-224,26/08/2017,25,39.4,0.77,NA
,AN17-224-T,AN17-224,26/08/2017,25,39.4,6.24,NA
AN17-225_S21,AN17-225-T,AN17-225,26/08/2017,24,9.44,15.9,1.34
AN17-228-S_S4,AN17-228-S,AN17-228,27/08/2017,28,4.24,30.2,1.88
AN17-26-B_S38,AN17-26-B,AN17-26,27/04/2017,28,1.43,11.8,2.26
AN17-26-S_S39,AN17-26-S,AN17-26,27/04/2017,30,10.6,13.2,1.14
AN17-269-T_S39,AN17-269-T,AN17-269,14/11/2017,23,29.5,40.4,1.88
AN17-27-A-S_S6,AN17-27-A-S,AN17-27-A,28/04/2017,25,1.5,30,36
AN17-27-A-T_S4,AN17-27-A-T,AN17-27-A,28/04/2017,20,6.2,23,36
AN17-271-T_S37,AN17-271-T,AN17-271,15/11/2017,25,4.95,39.8,1.51
AN17-277-T_S41,AN17-277-T,AN17-277,16/11/2017,25,14.6,36.4,1.44
,AN17-33-T,AN17-33,20/02/2017,19,1,NA,NA
AN17-330-S_S7,AN17-330-S,AN17-330,04/12/2017,34,5.3,48.4,0.39
AN17-338-S_S6,AN17-338-S,AN17-338,18/12/2017,26,0.71,10.5,3.02
AN17-381-T_S24,AN17-381-T,AN17-381,17/11/2017,28,23.7,52,1.29
AN17-384-S_S32,AN17-384-S,AN17-384,20/11/2017,27,3.22,30.2,1.41
AN17-387-S_S33,AN17-387-S,AN17-387,21/11/2017,25,4.73,33.3,1.51
,AN17-389-S,AN17-389,23/11/2017,18,4.22,0.23,NA
AN17-394-T_S40,AN17-394-T,AN17-394,24/11/2017,26,3.63,40.7,1.41
AN17-398-S_S34,AN17-398-S,AN17-398,25/11/2017,25,4.49,23.7,1.29
AN17-399-T_S26,AN17-399-T,AN17-399,25/11/2017,20,11.6,41.2,1.92
AN17-400-S_S28,AN17-400-S,AN17-400,24/11/2017,26,11.1,38.8,1.44
AN17-42-T_S5,AN17-42-T,AN17-42,26/02/2017,25,5.2,58,36
,AN17-45-S,AN17-45,24/07/2017,29,3.62,1.65,NA
AN17-47_S31,AN17-47-S,AN17-47,25/07/2017,26,8.53,6.26,0.39
,AN17-91-T,AN17-91,04/07/2017,22,47.2,3.56,NA
AN18-404-T_S16,AN18-404-T,AN18-404,19/01/2018,24,32.3,48,2.97
AN18-405-T_S14,AN18-405-T,AN18-405,20/01/2018,20,44.2,52,2.97
AN18-408-S_S11,AN18-408-S,AN18-408,22/01/2018,33,3.64,49.4,0.36
AN18-409-T_S15,AN18-409-T,AN18-409,22/01/2018,24,29.6,49.5,1.92
AN18-410-S_S9,AN18-410-S,AN18-410,22/01/2018,24,17.5,56.8,2.12
AN18-410-T_S8,AN18-410-T,AN18-410,22/01/2018,28,1.4,26.2,0.89
AN18-415-B_S20,AN18-415-B,AN18-415,23/01/2018,30,1,33.8,1.05
AN18-415-S_S21,AN18-415-S,AN18-415,23/01/2018,27,1,21.6,2.38
AN18-416-S_S18,AN18-416-S,AN18-416,24/01/2018,26,2.2,34.2,1.77
AN18-416-T_S19,AN18-416-T,AN18-416,24/01/2018,28,7.8,36.2,1.28
AN18-417-S_S17,AN18-417-S,AN18-417,24/01/2018,27,2.3,29,2.32
AN18-418-T_S10,AN18-418-T,AN18-418,24/01/2018,22,36.7,93.2,3.28
AN18-419-T_S16,AN18-419-T,AN18-419,25/01/2018,20,24.5,50.8,3.2
AN18-420-T_S17,AN18-420-T,AN18-420,25/01/2018,25,40.6,45.6,1.41
AN18-421-T_S7,AN18-421-T,AN18-421,25/01/2018,23,19.8,42.8,3.24
AN18-423-T_S38,AN18-423-T,AN18-423,13/02/2018,25,11.9,39.6,1.41
AN18-427-S_S36,AN18-427-S,AN18-427,14/02/2018,28,2.65,29.2,1.41
AN18-428-T_S27,AN18-428-T,AN18-428,15/02/2018,25,21.7,48.9,1.29
AN18-431-T_S13,AN18-431-T,AN18-431,19/02/2018,24,17,46.4,2.97
AN18-432-T_S23,AN18-432-T,AN18-432,19/02/2018,27,21.9,48.2,1.41
AN18-433-T_S25,AN18-433-T,AN18-433,20/02/2018,23,4.46,45.2,2.97
AN18-434-T_S6,AN18-434-T,AN18-434,20/02/2018,23,31.2,32.3,1.44
AN18-436-T_S12,AN18-436-T,AN18-436,21/02/2018,27,13.7,41.7,1.51
AN18-437-S_S35,AN18-437-S,AN18-437,21/02/2018,22,2.4,31.2,3.24
AN18-438-T_S42,AN18-438-T,AN18-438,21/02/2018,24,2.79,40.4,1.88
